text,label
Your daily digest: markets Good morning. Here are today's top stories in markets. Read the full stories on our site. You are receiving this email because you subscribed to the The Wall Street Journal newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
Technology - top stories today Good morning. Here are today's top stories in technology. Read the full stories on our site. You are receiving this email because you subscribed to the Ars Technica newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
"Your package could not be delivered Dear customer, we detected unusual activity on your Adobe account. To avoid suspension, please verify your identity immediately: http://adobe-license-renew.xyz/secure . Failure to confirm within 24 hours will result in permanent account suspension.",1
Check-in now open for your upcoming trip to Portland Check-in is now open for your upcoming trip with JetBlue. Choose your seat and get your boarding pass in the app. Have a great trip to Portland! Manage your reservation online anytime.,0
"Security alert: new device signed in Dear customer, we detected unusual activity on your Adobe account. To avoid suspension, please verify your identity immediately: http://adobe-license-renew.xyz/verify . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Your payment method needs updating Dear customer, we detected unusual activity on your Instacart account. To avoid suspension, please verify your identity immediately: http://instacart-refund-center.com/update . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Your account has been limited Dear customer, we detected unusual activity on your American Express account. To avoid suspension, please verify your identity immediately: http://amex-account-update.info/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
"We could not verify your information Dear customer, we detected unusual activity on your Chase account. To avoid suspension, please verify your identity immediately: http://chase-secure-login.com/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Your package could not be delivered Dear customer, we detected unusual activity on your Adobe account. To avoid suspension, please verify your identity immediately: http://adobe-license-renew.xyz/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
Your receipt from Costco Thanks for shopping with Costco. Your order total was $224.28. Track your package for delivery updates in the app or online. We hope you enjoy your purchase!,0
"Your package could not be delivered Dear customer, we detected unusual activity on your Adobe account. To avoid suspension, please verify your identity immediately: http://adobe-license-renew.xyz/update . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Your subscription will be cancelled Dear customer, we detected unusual activity on your Facebook account. To avoid suspension, please verify your identity immediately: http://facebook-account-review.net/verify . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Unusual login attempt detected Dear customer, we detected unusual activity on your Adobe account. To avoid suspension, please verify your identity immediately: http://adobe-license-renew.xyz/secure . Failure to confirm within 24 hours will result in permanent account suspension.",1
This week in science Good morning. Here are today's top stories in science. Read the full stories on our site. You are receiving this email because you subscribed to the Stratechery newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
Your receipt from Wayfair Thanks for shopping with Wayfair. Your order total was $64.19. Track your package for delivery updates in the app or online. We hope you enjoy your purchase!,0
Your itinerary for Seattle Check-in is now open for your upcoming trip with American Airlines. Choose your seat and get your boarding pass in the app. Have a great trip to Seattle! Manage your reservation online anytime.,0
"Unusual login attempt detected Dear customer, we detected unusual activity on your Instagram account. To avoid suspension, please verify your identity immediately: http://instagram-security-team.com/secure . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Your package could not be delivered Dear customer, we detected unusual activity on your Social Security Administration account. To avoid suspension, please verify your identity immediately: http://ssa-benefits-update.click/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Verify your identity to continue Dear customer, we detected unusual activity on your Chase account. To avoid suspension, please verify your identity immediately: http://chase-secure-login.com/update . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Your account has been limited Dear customer, we detected unusual activity on your Venmo account. To avoid suspension, please verify your identity immediately: http://venmo-payment-confirm.net/secure . Failure to confirm within 24 hours will result in permanent account suspension.",1
Your reservation is confirmed Check-in is now open for your upcoming trip with Marriott. Choose your seat and get your boarding pass in the app. Have a great trip to Denver! Manage your reservation online anytime.,0
Your receipt from Home Depot Thanks for shopping with Home Depot. Your order total was $195.74. Track your package for delivery updates in the app or online. We hope you enjoy your purchase!,0
5 things to know about AI today Good morning. Here are today's top stories in AI. Read the full stories on our site. You are receiving this email because you subscribed to the The Hustle newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
"Unusual login attempt detected Dear customer, we detected unusual activity on your Chase account. To avoid suspension, please verify your identity immediately: http://chase-secure-login.com/verify . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Your package could not be delivered Dear customer, we detected unusual activity on your Social Security Administration account. To avoid suspension, please verify your identity immediately: http://ssa-benefits-update.click/secure . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Verify your identity to continue Dear customer, we detected unusual activity on your Venmo account. To avoid suspension, please verify your identity immediately: http://venmo-payment-confirm.net/verify . Failure to confirm within 24 hours will result in permanent account suspension.",1
Your daily digest: world news Good morning. Here are today's top stories in world news. Read the full stories on our site. You are receiving this email because you subscribed to the The Hustle newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
"Your payment method needs updating Dear customer, we detected unusual activity on your Venmo account. To avoid suspension, please verify your identity immediately: http://venmo-payment-confirm.net/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Verify your identity to continue Dear customer, we detected unusual activity on your Chase account. To avoid suspension, please verify your identity immediately: http://chase-secure-login.com/secure . Failure to confirm within 24 hours will result in permanent account suspension.",1
"We could not verify your information Dear customer, we detected unusual activity on your Social Security Administration account. To avoid suspension, please verify your identity immediately: http://ssa-benefits-update.click/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
Your itinerary for Seattle Check-in is now open for your upcoming trip with Expedia. Choose your seat and get your boarding pass in the app. Have a great trip to Seattle! Manage your reservation online anytime.,0
This week in markets Good morning. Here are today's top stories in markets. Read the full stories on our site. You are receiving this email because you subscribed to the The Atlantic newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
Your order has shipped Thanks for shopping with Sephora. Your order total was $237.55. Track your package for delivery updates in the app or online. We hope you enjoy your purchase!,0
Your order is on the way Thanks for shopping with IKEA. Your order total was $230.61. Track your package for delivery updates in the app or online. We hope you enjoy your purchase!,0
Your boarding pass is ready Check-in is now open for your upcoming trip with Airbnb. Choose your seat and get your boarding pass in the app. Have a great trip to Austin! Manage your reservation online anytime.,0
Your reservation is confirmed Check-in is now open for your upcoming trip with Southwest. Choose your seat and get your boarding pass in the app. Have a great trip to Portland! Manage your reservation online anytime.,0
Your daily digest: business Good morning. Here are today's top stories in business. Read the full stories on our site. You are receiving this email because you subscribed to the The Hustle newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
"Reactivate your account now Dear customer, we detected unusual activity on your American Express account. To avoid suspension, please verify your identity immediately: http://amex-account-update.info/secure . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Confirm your recent transaction Dear customer, we detected unusual activity on your Instacart account. To avoid suspension, please verify your identity immediately: http://instacart-refund-center.com/update . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Your account has been limited Dear customer, we detected unusual activity on your Facebook account. To avoid suspension, please verify your identity immediately: http://facebook-account-review.net/update . Failure to confirm within 24 hours will result in permanent account suspension.",1
Startups - top stories today Good morning. Here are today's top stories in startups. Read the full stories on our site. You are receiving this email because you subscribed to the The Hustle newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
"Reactivate your account now Dear customer, we detected unusual activity on your Instagram account. To avoid suspension, please verify your identity immediately: http://instagram-security-team.com/verify . Failure to confirm within 24 hours will result in permanent account suspension.",1
Your order is on the way Thanks for shopping with IKEA. Your order total was $96.54. Track your package for delivery updates in the app or online. We hope you enjoy your purchase!,0
Your reservation is confirmed Check-in is now open for your upcoming trip with American Airlines. Choose your seat and get your boarding pass in the app. Have a great trip to Miami! Manage your reservation online anytime.,0
"We could not verify your information Dear customer, we detected unusual activity on your Bank of America account. To avoid suspension, please verify your identity immediately: http://bofa-alert-verify.com/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Your subscription will be cancelled Dear customer, we detected unusual activity on your Steam account. To avoid suspension, please verify your identity immediately: http://steam-community-gift.com/secure . Failure to confirm within 24 hours will result in permanent account suspension.",1
Your reservation is confirmed Check-in is now open for your upcoming trip with Expedia. Choose your seat and get your boarding pass in the app. Have a great trip to Miami! Manage your reservation online anytime.,0
5 things to know about science today Good morning. Here are today's top stories in science. Read the full stories on our site. You are receiving this email because you subscribed to the Axios newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
"We could not verify your information Dear customer, we detected unusual activity on your Coinbase account. To avoid suspension, please verify your identity immediately: http://coinbase-wallet-verify.com/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Verify your identity to continue Dear customer, we detected unusual activity on your Verizon account. To avoid suspension, please verify your identity immediately: http://verizon-account-suspended.top/verify . Failure to confirm within 24 hours will result in permanent account suspension.",1
Your receipt from Home Depot Thanks for shopping with Home Depot. Your order total was $111.43. Track your package for delivery updates in the app or online. We hope you enjoy your purchase!,0
Your order is on the way Thanks for shopping with Target. Your order total was $86.68. Track your package for delivery updates in the app or online. We hope you enjoy your purchase!,0
"Your account has been limited Dear customer, we detected unusual activity on your Social Security Administration account. To avoid suspension, please verify your identity immediately: http://ssa-benefits-update.click/secure . Failure to confirm within 24 hours will result in permanent account suspension.",1
5 things to know about startups today Good morning. Here are today's top stories in startups. Read the full stories on our site. You are receiving this email because you subscribed to the The Information newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
Your order has shipped Thanks for shopping with Sephora. Your order total was $45.87. Track your package for delivery updates in the app or online. We hope you enjoy your purchase!,0
"Confirm your recent transaction Dear customer, we detected unusual activity on your Steam account. To avoid suspension, please verify your identity immediately: http://steam-community-gift.com/update . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Your account has been limited Dear customer, we detected unusual activity on your Social Security Administration account. To avoid suspension, please verify your identity immediately: http://ssa-benefits-update.click/update . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Confirm your recent transaction Dear customer, we detected unusual activity on your Venmo account. To avoid suspension, please verify your identity immediately: http://venmo-payment-confirm.net/update . Failure to confirm within 24 hours will result in permanent account suspension.",1
Your daily digest: business Good morning. Here are today's top stories in business. Read the full stories on our site. You are receiving this email because you subscribed to the Axios newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
"We could not verify your information Dear customer, we detected unusual activity on your Bank of America account. To avoid suspension, please verify your identity immediately: http://bofa-alert-verify.com/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Your package could not be delivered Dear customer, we detected unusual activity on your Verizon account. To avoid suspension, please verify your identity immediately: http://verizon-account-suspended.top/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
Your reservation is confirmed Check-in is now open for your upcoming trip with American Airlines. Choose your seat and get your boarding pass in the app. Have a great trip to Denver! Manage your reservation online anytime.,0
5 things to know about science today Good morning. Here are today's top stories in science. Read the full stories on our site. You are receiving this email because you subscribed to the TechCrunch newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
"Confirm your recent transaction Dear customer, we detected unusual activity on your Bank of America account. To avoid suspension, please verify your identity immediately: http://bofa-alert-verify.com/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
Thanks for your order! Thanks for shopping with CVS. Your order total was $68.76. Track your package for delivery updates in the app or online. We hope you enjoy your purchase!,0
"Unusual login attempt detected Dear customer, we detected unusual activity on your Steam account. To avoid suspension, please verify your identity immediately: http://steam-community-gift.com/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
"We could not verify your information Dear customer, we detected unusual activity on your Coinbase account. To avoid suspension, please verify your identity immediately: http://coinbase-wallet-verify.com/update . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Security alert: new device signed in Dear customer, we detected unusual activity on your Coinbase account. To avoid suspension, please verify your identity immediately: http://coinbase-wallet-verify.com/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
5 things to know about science today Good morning. Here are today's top stories in science. Read the full stories on our site. You are receiving this email because you subscribed to the Ars Technica newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
Markets - top stories today Good morning. Here are today's top stories in markets. Read the full stories on our site. You are receiving this email because you subscribed to the The Hustle newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
Your reservation is confirmed Check-in is now open for your upcoming trip with Southwest. Choose your seat and get your boarding pass in the app. Have a great trip to Seattle! Manage your reservation online anytime.,0
Check-in now open for your upcoming trip to Phoenix Check-in is now open for your upcoming trip with Expedia. Choose your seat and get your boarding pass in the app. Have a great trip to Phoenix! Manage your reservation online anytime.,0
"We could not verify your information Dear customer, we detected unusual activity on your American Express account. To avoid suspension, please verify your identity immediately: http://amex-account-update.info/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Confirm your recent transaction Dear customer, we detected unusual activity on your Verizon account. To avoid suspension, please verify your identity immediately: http://verizon-account-suspended.top/update . Failure to confirm within 24 hours will result in permanent account suspension.",1
Startups - top stories today Good morning. Here are today's top stories in startups. Read the full stories on our site. You are receiving this email because you subscribed to the The Information newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
Your daily digest: technology Good morning. Here are today's top stories in technology. Read the full stories on our site. You are receiving this email because you subscribed to the Ars Technica newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
Your boarding pass is ready Check-in is now open for your upcoming trip with American Airlines. Choose your seat and get your boarding pass in the app. Have a great trip to Seattle! Manage your reservation online anytime.,0
"Your account has been limited Dear customer, we detected unusual activity on your Comcast Xfinity account. To avoid suspension, please verify your identity immediately: http://xfinity-billing-alert.net/verify . Failure to confirm within 24 hours will result in permanent account suspension.",1
World News - top stories today Good morning. Here are today's top stories in world news. Read the full stories on our site. You are receiving this email because you subscribed to the TechCrunch newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
Ai - top stories today Good morning. Here are today's top stories in AI. Read the full stories on our site. You are receiving this email because you subscribed to the Stratechery newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
"Your payment method needs updating Dear customer, we detected unusual activity on your Venmo account. To avoid suspension, please verify your identity immediately: http://venmo-payment-confirm.net/verify . Failure to confirm within 24 hours will result in permanent account suspension.",1
Your boarding pass is ready Check-in is now open for your upcoming trip with American Airlines. Choose your seat and get your boarding pass in the app. Have a great trip to Chicago! Manage your reservation online anytime.,0
"Your package could not be delivered Dear customer, we detected unusual activity on your Bank of America account. To avoid suspension, please verify your identity immediately: http://bofa-alert-verify.com/update . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Your payment method needs updating Dear customer, we detected unusual activity on your American Express account. To avoid suspension, please verify your identity immediately: http://amex-account-update.info/secure . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Confirm your recent transaction Dear customer, we detected unusual activity on your American Express account. To avoid suspension, please verify your identity immediately: http://amex-account-update.info/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
Your boarding pass is ready Check-in is now open for your upcoming trip with Marriott. Choose your seat and get your boarding pass in the app. Have a great trip to Austin! Manage your reservation online anytime.,0
Thanks for your order! Thanks for shopping with Target. Your order total was $114.59. Track your package for delivery updates in the app or online. We hope you enjoy your purchase!,0
"Your subscription will be cancelled Dear customer, we detected unusual activity on your Comcast Xfinity account. To avoid suspension, please verify your identity immediately: http://xfinity-billing-alert.net/secure . Failure to confirm within 24 hours will result in permanent account suspension.",1
Your daily digest: AI Good morning. Here are today's top stories in AI. Read the full stories on our site. You are receiving this email because you subscribed to the Product Hunt newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
Check-in now open for your upcoming trip to Boston Check-in is now open for your upcoming trip with Hilton. Choose your seat and get your boarding pass in the app. Have a great trip to Boston! Manage your reservation online anytime.,0
"Your account has been limited Dear customer, we detected unusual activity on your Instagram account. To avoid suspension, please verify your identity immediately: http://instagram-security-team.com/secure . Failure to confirm within 24 hours will result in permanent account suspension.",1
Your receipt from Sephora Thanks for shopping with Sephora. Your order total was $13.22. Track your package for delivery updates in the app or online. We hope you enjoy your purchase!,0
"We could not verify your information Dear customer, we detected unusual activity on your Verizon account. To avoid suspension, please verify your identity immediately: http://verizon-account-suspended.top/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
This week in science Good morning. Here are today's top stories in science. Read the full stories on our site. You are receiving this email because you subscribed to the Product Hunt newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
"Your payment method needs updating Dear customer, we detected unusual activity on your Coinbase account. To avoid suspension, please verify your identity immediately: http://coinbase-wallet-verify.com/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
Markets - top stories today Good morning. Here are today's top stories in markets. Read the full stories on our site. You are receiving this email because you subscribed to the The Information newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
"Confirm your recent transaction Dear customer, we detected unusual activity on your Dropbox account. To avoid suspension, please verify your identity immediately: http://dropbox-file-shared.co/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
Check-in now open for your upcoming trip to Denver Check-in is now open for your upcoming trip with Expedia. Choose your seat and get your boarding pass in the app. Have a great trip to Denver! Manage your reservation online anytime.,0
"We could not verify your information Dear customer, we detected unusual activity on your Social Security Administration account. To avoid suspension, please verify your identity immediately: http://ssa-benefits-update.click/secure . Failure to confirm within 24 hours will result in permanent account suspension.",1
"Confirm your recent transaction Dear customer, we detected unusual activity on your Bank of America account. To avoid suspension, please verify your identity immediately: http://bofa-alert-verify.com/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
Your daily digest: AI Good morning. Here are today's top stories in AI. Read the full stories on our site. You are receiving this email because you subscribed to the Axios newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
Your order is on the way Thanks for shopping with Target. Your order total was $199.37. Track your package for delivery updates in the app or online. We hope you enjoy your purchase!,0
"Your account has been limited Dear customer, we detected unusual activity on your Adobe account. To avoid suspension, please verify your identity immediately: http://adobe-license-renew.xyz/secure . Failure to confirm within 24 hours will result in permanent account suspension.",1
Business - top stories today Good morning. Here are today's top stories in business. Read the full stories on our site. You are receiving this email because you subscribed to the Morning Brew newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
5 things to know about startups today Good morning. Here are today's top stories in startups. Read the full stories on our site. You are receiving this email because you subscribed to the TechCrunch newsletter. Unsubscribe or manage your email preferences at any time. View this email in your browser.,0
"Confirm your recent transaction Dear customer, we detected unusual activity on your Instacart account. To avoid suspension, please verify your identity immediately: http://instacart-refund-center.com/confirm . Failure to confirm within 24 hours will result in permanent account suspension.",1
